********************************************************************************
*                                                                               *
*                                                                               *
*                                                                               *
*                         Fuel_Temp ; TAPS-3&4                                  *
*                    Alok Jha ; alokjha@npcil.co.in                             *
*                  NUCLEAR POWER CORPORATION OF INDIA                           *
*                                                                               *
*                                                                               *
*                                                                               *
********************************************************************************

 Calculation of Temperature by Iteration: 
$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
Radius		Temperature
0		869
0.61		312.429
0.6101		312.465
0.6102		312.502
0.6103		312.538
0.6104		312.575
0.6105		312.611
0.6106		312.648
0.6107		312.684
0.6108		312.721
0.6109		312.757
0.611		312.794
0.6111		312.83
0.6112		312.867
0.6113		312.903
0.6114		312.94
0.6115		312.976
0.6116		313.012
0.6117		313.049
0.6118		313.085
0.6119		313.121
0.612		313.158
0.6121		313.194
0.6122		313.23
0.6123		313.267
0.6124		313.303
0.6125		313.339
0.6125		299.28
0.6126		299.282
0.6127		299.285
0.6128		299.287
0.6129		299.289
0.613		299.291
0.6131		299.294
0.6132		299.296
0.6133		299.298
0.6134		299.301
0.6135		299.303
0.6136		299.305
0.6137		299.308
0.6138		299.31
0.6139		299.312
0.614		299.314
0.6141		299.317
0.6142		299.319
0.6143		299.321
0.6144		299.323
0.6145		299.326
0.6146		299.328
0.6147		299.33
0.6148		299.333
0.6149		299.335
0.615		299.337
0.6151		299.339
0.6152		299.342
0.6153		299.344
0.6154		299.346
0.6155		299.349
0.6156		299.351
0.6157		299.353
0.6158		299.355
0.6159		299.358
0.616		299.36
0.6161		299.362
0.6162		299.364
0.6163		299.367
0.6164		299.369
0.6165		299.371
0.6166		299.373
0.6167		299.376
0.6168		299.378
0.6169		299.38
0.617		299.383
0.6171		299.385
0.6172		299.387
0.6173		299.389
0.6174		299.392
0.6175		299.394
0.6176		299.396
0.6177		299.398
0.6178		299.401
0.6179		299.403
0.618		299.405
0.6181		299.407
0.6182		299.41
0.6183		299.412
0.6184		299.414
0.6185		299.416
0.6186		299.419
0.6187		299.421
0.6188		299.423
0.6189		299.425
0.619		299.428
0.6191		299.43
0.6192		299.432
0.6193		299.434
0.6194		299.437
0.6195		299.439
0.6196		299.441
0.6197		299.443
0.6198		299.446
0.6199		299.448
0.62		299.45
0.6201		299.452
0.6202		299.455
0.6203		299.457
0.6204		299.459
0.6205		299.461
0.6206		299.464
0.6207		299.466
0.6208		299.468
0.6209		299.47
0.621		299.472
0.6211		299.475
0.6212		299.477
0.6213		299.479
0.6214		299.481
0.6215		299.484
0.6216		299.486
0.6217		299.488
0.6218		299.49
0.6219		299.493
0.622		299.495
0.6221		299.497
0.6222		299.499
0.6223		299.501
0.6224		299.504
0.6225		299.506
